"","disp","lambda","lambda_dev","alpha_brho","alpha_brho_dev","alpha_acam","alpha_acam_dev","water","lambda_m0","alpha_brho_m0","alpha_acam_m0"
"1",0.420332855891897,588.672901026608,-3.13265568738516,-0.0500199395881607,0.205542531999249,0.00626999560663244,-0.0166831624040597,1,585.540245339223,0.155522592411089,-0.0104131667974273
"2",0.413457544840694,543.614735276555,6.03469540427839,-0.0465916101405861,0.190934772176652,0.00408406491373407,-0.00908754549257351,1,549.649430680834,0.144343162036066,-0.00500348057883943
"3",0.43629891513758,546.594679273637,2.98565204798931,-0.0508155805084564,0.219407516694339,0.00959987742781412,-0.0170508577453708,1,549.580331321626,0.168591936185882,-0.0074509803175567
"4",0.363143313628649,593.922743374598,-1.4467959043198,-0.0494115450474579,0.213467452481523,0.00155178538189612,-0.0104582657641149,1,592.475947470278,0.164055907434065,-0.00890648038221874
"5",0.39643231154121,578.857225670641,18.7071554075843,-0.0443443896841868,0.21803909969696,0.00477128825550859,-0.0138717076931423,1,597.564381078226,0.173694710012774,-0.00910041943763367
"6",0.421477481941688,610.739740682851,3.79408023314824,-0.0501376920368079,0.135661993179728,-0.000998369575691689,-0.0063078676020228,1,614.533820915999,0.08552430114292,-0.00730623717771449
"7",0.399453781407961,569.295270702028,3.16057495936695,-0.0400906820088933,0.17248857294598,0.00283312305563638,-0.00849114260324048,1,572.455845661395,0.132397890937087,-0.0056580195476041
"8",0.441888404942898,562.74001182735,1.20992931722208,-0.0422499253351153,0.223747842722163,0.00550423694904972,-0.0128312213820604,1,563.949941144573,0.181497917387047,-0.00732698443301067
"9",0.422948369852485,595.236391371134,11.6065549273132,-0.0432553825167934,0.186508858112985,0.00700513077199553,-0.0145456145527032,1,606.842946298447,0.143253475596191,-0.00754048378070765
"10",0.406637379924498,584.944578349613,0.652203388521683,-0.0446490146936569,0.174782117789881,0.00202897034266442,-0.0111889125197002,1,585.596781738134,0.130133103096224,-0.00915994217703578
"11",0.423058819547413,554.766788335757,2.92755148400494,-0.0442339061033176,0.176114331419567,0.0140045884113179,-0.0237567954828195,1,557.694339819762,0.13188042531625,-0.0097522070715016
"12",0.42263851596095,578.248627898027,1.10094982803875,-0.0438339890807169,0.190856152894612,0.00330083576592473,-0.00646754889378444,1,579.349577726066,0.147022163813895,-0.00316671312785971
"13",0.405353163975715,621.858980089873,1.43042103178587,-0.0492783102803811,0.141519414807114,0.00568190248691189,-0.0101904997193506,1,623.289401121659,0.0922411045267331,-0.00450859723243875
"14",0.396520715356176,563.57678335111,1.63143527932957,-0.0403806881624666,0.194599572377352,0.0117136552296226,-0.0189876694125589,1,565.208218630439,0.154218884214885,-0.00727401418293627
"15",0.393264498291833,560.898552529987,9.59586907471912,-0.0457069850357972,0.168879922435185,0.0041868459281429,-0.00986051530160667,1,570.494421604706,0.123172937399387,-0.00567366937346377
"16",0.377980733220177,559.352296501197,-2.17492655771143,-0.0467559218136271,0.225806910929699,0.0104701248395726,-0.0198022059976052,1,557.177369943486,0.179050989116072,-0.00933208115803258
"17",0.456262103736128,572.108787522773,-9.73324418929989,-0.0387546109470402,0.160487181603636,2.73464023307972e-05,-0.00537858400146188,1,562.375543333474,0.121732570656596,-0.00535123759913108
"18",0.461927728551612,561.72595455209,0.295816633731443,-0.0421989611004773,0.200225557582572,0.00716049256394603,-0.00911430433122599,1,562.021771185822,0.158026596482095,-0.00195381176727997
"19",0.339502799088823,647.004374460026,8.34713641731547,-0.0526146756100667,0.167019193310232,-0.00489280155234235,0.000154858657704592,1,655.351510877342,0.114404517700165,-0.00473794289463776
"20",0.395340133259695,574.972487950382,-4.02182692758015,-0.0441195621794786,0.191353475393096,0.00665873091585196,-0.0101765434484854,1,570.950661022802,0.147233913213617,-0.0035178125326334
"21",0.34519320346525,672.503914950703,0.494267069015507,-0.0523884328982047,0.13006918729671,-0.00600570074744657,-0.000955070484147495,1,672.998182019718,0.0776807543985054,-0.00696077123159407
"22",0.43104664536554,541.299446975559,-2.484855358592,-0.0392848301802735,0.144016447619868,0.00972206286492393,-0.0126715669912082,1,538.814591616967,0.104731617439594,-0.00294950412628428
"23",0.410548039405144,581.838270376213,9.23427058529015,-0.0443092698159795,0.158731566183709,0.00297418027077248,-0.00964350773251325,1,591.072540961503,0.11442229636773,-0.00666932746174077
"24",0.378001577363011,570.21031041632,4.28850747084269,-0.0391709584691242,0.169228373389321,0.0077712488443079,-0.00973173204066048,1,574.498817887162,0.130057414920197,-0.00196048319635258
"25",0.357215156638066,585.155225381983,-2.45473041085177,-0.0485869005860165,0.202456117328428,0.0017555897006509,-0.00712120833283429,1,582.700494971131,0.153869216742411,-0.00536561863218339
"26",0.385959510213939,574.417352805292,19.6914024979832,-0.04615758221209,0.20641683997854,0.0048948259386563,-0.0127755843476082,1,594.108755303275,0.16025925776645,-0.00788075840895186
"27",0.43347456019337,587.932340946671,4.03729751322699,-0.0485368038137294,0.188297924014103,0.00344243803633284,-0.0123824074482063,1,591.969638459898,0.139761120200373,-0.00893996941187345
"28",0.450692536473851,540.597862733864,5.53990295961083,-0.0432524003846597,0.185327157336775,0.00555312342061548,-0.0117764841846423,1,546.137765693475,0.142074756952115,-0.00622336076402678
"29",0.355269268779015,654.909570901606,3.17399770248987,-0.0496781442912007,0.201870950755625,0.00172434177070897,-0.00925284280614111,1,658.083568604096,0.152192806464425,-0.00752850103543214
"30",0.393874536447352,592.008117699002,-4.18378917718967,-0.0450197596671913,0.176220625860864,0.00420217737391256,-0.00956359003863121,1,587.824328521813,0.131200866193673,-0.00536141266471865
