"disp","lambda","alpha_brho","alpha_acam","water","focal"
0.667723153933983,441.606178728406,-0.0456888545602431,0.0171062220040521,1,"BRHO"
0.512195788877662,490.10364523938,-0.0385666952202951,0.0115725045581791,1,"BRHO"
0.608959188961933,450.452620858301,-0.0476586750894551,0.0192406998564536,1,"BRHO"
0.609386965543331,489.50117852031,-0.0421266512325736,0.0107152226455435,1,"BRHO"
0.484698591763954,506.648649402685,-0.047050746602506,0.00871154534040657,1,"BRHO"
0.681211288698037,478.127532388145,-0.0392294026521548,0.0186000768435594,1,"BRHO"
0.50096295391388,501.12983888276,-0.0506390656088471,0.0146658104517833,1,"BRHO"
0.631808492869087,427.876833945447,-0.0382487632361021,0.0152083772026197,1,"BRHO"
0.510714706696578,501.307552762262,-0.0418477767553383,0.00454413868928038,1,"BRHO"
0.491228779175779,524.850785251694,-0.0465886569481436,0.00808731177260703,1,"BRHO"
0.463865899405016,537.88405130266,-0.0413155423399272,0.0107040799638397,1,"BRHO"
0.587281670196749,407.927302331159,-0.0433266210712307,0.0184288426403335,1,"BRHO"
0.441914774308365,540.272650394763,-0.0467709472604203,0.00860392974268802,1,"BRHO"
0.467000229353056,549.708455240324,-0.0379927498274477,0.00333515435370686,1,"BRHO"
0.559301466538585,481.365460882552,-0.0360112188187382,0.0192363439468016,1,"BRHO"
0.657116107913062,504.951854144992,-0.0479412548758059,0.0114976509163054,1,"BRHO"
0.57728936910648,436.407321516866,-0.0406836787371028,0.0144224243209248,1,"BRHO"
0.497617768026739,459.638262709037,-0.0355703882102339,0.0160226629121928,1,"BRHO"
0.616465620103799,444.70823560764,-0.0384922708436626,0.00985903665523414,1,"BRHO"
0.513371192759728,507.498718671961,-0.0374126057710198,0.0062080143406397,1,"BRHO"
0.52747954399061,550.124627433953,-0.0445184126173025,0.00487397079589691,1,"BRHO"
0.555253549285421,425.667948714386,-0.0437212350330502,0.0210249194033169,1,"BRHO"
0.532234252759839,436.04371842946,-0.0458714977666137,0.0220816881268469,1,"BRHO"
