"","disp","lambda","lambda_dev","alpha_brho","alpha_brho_dev","alpha_acam","alpha_acam_dev","water","lambda_m0","alpha_brho_m0","alpha_acam_m0"
"1",0.58093479575713,61.1556281451473,-43.6601575584718,-0.0255214849380745,-0.0459630002805754,-0.0531397059122354,0.0307724148744796,1,17.4954705866755,-0.0714844852186499,-0.0223672910377558
"2",0.51090931296306,76.2089368496175,-51.9591214583954,-0.026606672564469,-0.0415262384649927,-0.065070256861735,0.0316545666833596,1,24.2498153912221,-0.0681329110294616,-0.0334156901783754
"3",0.496373298709324,77.4836869880717,-38.5043839622687,-0.0323902703716057,-0.0257155825959322,-0.0538739040178364,0.00724609752474552,1,38.979303025803,-0.058105852967538,-0.0466278064930908
"4",0.529819380642692,68.969516781829,-48.4683298211221,-0.0165359793626441,-0.0114111250232798,-0.0629954810955191,0.0292839497945711,1,20.5011869607069,-0.027947104385924,-0.033711531300948
"5",0.499014339632442,67.4055945487002,-48.498621324831,-0.0161705488563443,-0.0277721961528441,-0.0501797268676978,0.0239326421098128,1,18.9069732238693,-0.0439427450091884,-0.026247084757885
"6",0.530698760929012,59.5164105902025,-38.6725057304904,-0.0260409443039683,-0.0218555208844612,-0.0488427937597164,0.0193769118107969,1,20.8439048597121,-0.0478964651884295,-0.0294658819489195
"7",0.60513846867413,74.0420822431995,-44.5352994893135,-0.0239307374466321,-0.109695755981291,-0.0560157412479338,0.0212797024002547,1,29.506782753886,-0.133626493427923,-0.0347360388476792
"8",0.576471605730472,67.3520392176402,-42.4135612067309,-0.0267563075805025,-0.0440676100435786,-0.0446229115572287,0.0167694078971209,1,24.9384780109093,-0.0708239176240811,-0.0278535036601077
"9",0.504048788299677,70.6108300780083,-48.3534953469342,-0.0234363332249358,0.00568718499456191,-0.0557750485721944,0.0239812878514045,1,22.2573347310741,-0.0177491482303738,-0.0317937607207899
"10",0.568828116698914,67.570605486063,-32.9704020777341,-0.0285277581169178,-0.126175039952482,-0.0509421801621269,0.0104020569476728,1,34.6002034083289,-0.1547027980694,-0.0405401232144542
"11",0.495645410168586,67.2630406628498,-52.1037439288823,-0.0287741444668915,0.0493003930799457,-0.0468326569795894,0.0263828294639497,1,15.1592967339676,0.0205262486130542,-0.0204498275156397
"12",0.558721750241342,71.3484405730463,-53.5781955062052,-0.0223694636316228,0.0772891680614804,-0.0578663394679035,0.0220527304520655,1,17.7702450668411,0.0549197044298576,-0.0358136090158381
"13",0.525215801534932,62.5800602326391,-48.9253781795278,-0.0131500874957514,0.0836427144772967,-0.0423575273221284,0.0201574796986092,1,13.6546820531113,0.0704926269815452,-0.0222000476235192
"14",0.559170116210589,89.8192021414859,-56.0605238415612,-0.0325387088429892,-0.113298767194382,-0.0626804274779523,0.02849541271093,1,33.7586782999247,-0.145837476037372,-0.0341850147670223
"15",0.513532377577366,70.7467473561023,-49.2859107819369,-0.0279361879157065,-0.0502480475604788,-0.0488705765564414,0.0176508057342962,1,21.4608365741655,-0.0781842354761854,-0.0312197708221452
"16",0.552862963977255,64.7420557655075,-47.3093121561152,-0.0140604435639338,0.0227758559390714,-0.0534143868861226,0.0276233211267881,1,17.4327436093923,0.0087154123751376,-0.0257910657593345
"17",0.485542663633876,78.2647459238115,-55.5741966418759,-0.0332073901394931,-0.0788348468327625,-0.0594977596256356,0.0283067613156643,1,22.6905492819357,-0.112042236972256,-0.0311909983099714
"18",0.57165017975717,63.244341895078,-48.325555816932,-0.0237165840354485,0.0692249402345599,-0.0512668639593598,0.0230212605555122,1,14.918786078146,0.0455083561991114,-0.0282456034038476
"19",0.53214770885803,65.6273171734166,-48.4559936265258,-0.0237450223694578,-0.0240328331902115,-0.0517089914803741,0.0316681423364849,1,17.1713235468908,-0.0477778555596694,-0.0200408491438892
"20",0.584893625712198,61.1776439032789,-38.8588220084097,-0.0236130427533755,-0.0847120035276337,-0.0484692694901952,0.0220884184852397,1,22.3188218948692,-0.108325046281009,-0.0263808510049555
"21",0.518244393909762,58.2938104363241,-44.9530171028949,-0.0224106594065775,0.0640569121245965,-0.0464890663989875,0.0237490746242622,1,13.3407933334292,0.041646252718019,-0.0227399917747253
"22",0.523820602603574,64.7238988132639,-44.0981312159517,-0.0273698967795988,0.00402783851039298,-0.0556557674716329,0.0284678910271942,1,20.6257675973122,-0.0233420582692058,-0.0271878764444387
"23",0.706584688693369,67.0427664180776,-47.5580086752821,-0.0286968191715224,0.00192827886314441,-0.0506314812342191,0.0188687685127552,1,19.4847577427955,-0.026768540308378,-0.0317627127214639
"24",0.556093844808963,63.5220868818978,-40.309495292167,-0.0119394664540364,-0.0797951057965941,-0.0538892412153598,0.0280507792760044,1,23.2125915897307,-0.0917345722506304,-0.0258384619393554
"25",0.50536764255541,60.6922644153555,-40.5472603394787,-0.0212499026025349,-0.031144623470863,-0.0505359468452777,0.0168946985835001,1,20.1450040758768,-0.052394526073398,-0.0336412482617777
"26",0.559689596632245,63.9636208774209,-38.3149136590445,-0.0269059667813134,0.00754306970153238,-0.050173566898849,0.00795559694187271,1,25.6487072183764,-0.019362897079781,-0.0422179699569763
"27",0.589505224296915,62.0725979191139,-41.6538738077666,-0.0188828051671432,-0.0874270440742177,-0.045759277222615,0.0174457916886531,1,20.4187241113473,-0.106309849241361,-0.0283134855339619
"28",0.465410842164276,73.5024772980344,-50.1099442550013,-0.0285410816363521,-0.0702535838265829,-0.0565801881355672,0.0297405285049249,1,23.3925330430331,-0.098794665462935,-0.0268396596306423
