unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,BRHO.flowering,date,BRHO.flowering.followup,date.followup,sample.collected,num.living.bg.indiv,num.dead.bg.indiv,num.focal.indiv,date,notes
167,8,0.75,1,1,ACAM,BRHO,36,focal,no,4/10/24,no,4/15/24,,,,,,
266,8,1,1,4,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
329,8,0.75,1,3,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
307,8,0.75,1,1,BRHO,ACAM,focal,24,yes,4/10/24,,,,,,,,
7,9,0.6,0,1,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
61,9,0.6,0,3,ACAM,BRHO,0,focal,no,4/10/24,no,4/15/24,,,,,,
94,9,0.6,0,4,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
81,9,1,0,3,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
63,9,0.6,0,3,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
100,9,0.6,0,4,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
101,9,0.75,0,4,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
19,9,0.75,0,1,ACAM,BRHO,60,focal,yes,4/10/24,,,,,,,,
71,10,0.75,0,3,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
93,10,0.6,0,4,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
41,10,0.75,0,2,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
102,10,0.75,0,4,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
131,10,0.75,0,5,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
25,10,1,0,1,ACAM,BRHO,18,focal,yes,4/10/24,,,,,,,,
37,10,0.6,0,2,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
52,10,1,0,2,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
16,11,0.75,0,1,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
72,11,0.75,0,3,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
134,11,0.75,0,5,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
136,11,0.75,0,5,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
54,11,1,0,2,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
112,11,1,0,4,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
148,11,1,0,5,ACAM,BRHO,48,focal,no,4/10/24,buds,4/15/24,,,,,,
9,11,0.6,0,1,ACAM,BRHO,60,focal,yes,4/10/24,,,,,,,,
66,12,0.6,0,3,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
90,12,1,0,3,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
111,12,1,0,4,ACAM,BRHO,0,focal,buds,4/10/24,yes,4/15/24,,,,,,
78,12,0.75,0,3,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
120,12,1,0,4,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
126,12,0.6,0,5,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
12,12,0.75,0,1,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
339,13,0.6,1,4,BRHO,ACAM,focal,24,yes,4/10/24,,,,,,,,
259,13,0.75,1,4,ACAM,BRHO,60,focal,no,4/10/24,no,4/15/24,,,,,,
315,13,0.6,1,2,BRHO,ACAM,focal,24,yes,4/10/24,,,,,,,,
349,13,0.6,1,5,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
351,13,0.6,1,5,BRHO,ACAM,focal,24,yes,4/10/24,,,,,,,,
