"focal","water","post_num","igr","equil","alpha_inter","microbe"
"ACAM",0.6,1725,-2.22310592609181,106,-0.0581560364743684,1
"ACAM",0.6,912,-2.18109673664681,117,-0.0505980067965349,1
"ACAM",0.6,1525,-2.16522112152202,113,-0.0526851825927145,1
"ACAM",0.6,502,-2.23633041949144,115,-0.053474323001418,1
"ACAM",0.6,2911,-2.43528661252462,116,-0.0616590248087459,1
"ACAM",0.6,876,-2.2573667681117,104,-0.0605547979228474,1
"ACAM",0.6,864,-2.43713975379321,112,-0.0642041621089095,1
"ACAM",0.6,370,-2.18985141355007,115,-0.0529228094847631,1
"ACAM",0.6,1712,-2.02833105812588,102,-0.0552711623899508,1
"ACAM",0.6,2331,-2.01461575784041,102,-0.0540266872752173,1
"ACAM",0.6,2870,-2.03277629007562,109,-0.0511966719272476,1
"ACAM",0.6,1481,-2.05598070154042,113,-0.0490067674645274,1
"ACAM",0.6,1012,-1.92490177888897,109,-0.0490199773532038,1
"ACAM",0.6,1892,-2.19251413725833,111,-0.0546373325662354,1
"ACAM",0.6,2188,-1.96348955994102,108,-0.0500814668159618,1
"ACAM",0.6,435,-2.35737609579823,114,-0.058636092213214,1
"ACAM",0.6,2152,-2.06458282644572,109,-0.0525971432945354,1
"ACAM",0.6,3,-2.29634416358186,117,-0.0551936871232767,1
"ACAM",0.6,1843,-2.22180375611466,109,-0.0551932919444873,1
"ACAM",0.6,1855,-2.20891019479244,108,-0.0568039470615776,1
"ACAM",0.6,314,-1.91067678944676,108,-0.0484670752829784,1
"ACAM",0.6,2854,-2.29659619667638,110,-0.057906175876674,1
"ACAM",0.6,867,-2.37010415746848,112,-0.0601386567186255,1
"ACAM",0.6,1878,-2.34873750849819,111,-0.0608953578259035,1
"ACAM",0.6,1435,-2.15727834490882,109,-0.0554289536394273,1
"ACAM",0.6,2201,-1.9998923405016,111,-0.0498109578675795,1
"ACAM",0.6,251,-2.27900165477548,110,-0.0580363101555033,1
"ACAM",0.6,2900,-2.34090538255991,110,-0.0610686907977256,1
"ACAM",0.6,2694,-2.15446291346848,111,-0.0527633198766145,1
"ACAM",0.6,2419,-2.17254516252679,111,-0.0530022463919195,1
"ACAM",0.6,895,-2.17513938356969,119,-0.0502320501924441,1
"ACAM",0.6,2179,-2.01657473982807,103,-0.0543725782303278,1
"ACAM",0.6,168,-2.25725130321339,108,-0.0589711501793759,1
"ACAM",0.6,1446,-2.20690518026381,111,-0.0540594665339367,1
"ACAM",0.6,2798,-1.87467285346671,106,-0.0487679452447081,1
"ACAM",0.6,715,-2.14473468496993,108,-0.0544140789688276,1
"ACAM",0.6,1701,-2.2757675261377,111,-0.0580962166099339,1
"ACAM",0.6,1967,-2.04821123003071,106,-0.053180558600247,1
"ACAM",0.6,2147,-2.37102230008473,118,-0.0574330944478537,1
"ACAM",0.6,1035,-2.06883106797452,105,-0.0541078034065586,1
"ACAM",0.6,1713,-2.19032770897959,113,-0.0533843074545255,1
"ACAM",0.6,616,-2.02532588726094,106,-0.0524122246952861,1
"ACAM",0.6,106,-2.31559671304811,104,-0.0624769485425269,1
"ACAM",0.6,1168,-2.09870817177409,101,-0.0567692406178754,1
"ACAM",0.6,774,-2.44961816186484,115,-0.0638726253899094,1
"ACAM",0.6,2612,-2.30640037081053,118,-0.0544826859081408,1
"ACAM",0.6,58,-2.24382172362092,119,-0.0526321532901802,1
"ACAM",0.6,2028,-2.34829829714426,114,-0.0588823636306291,1
"ACAM",0.6,1541,-2.39729437225907,111,-0.0629785722446851,1
"ACAM",0.6,1528,-2.28564589304742,112,-0.0579680167696373,1
"ACAM",0.6,2794,-2.16246442528415,106,-0.0563900851117525,1
"ACAM",0.6,1235,-2.37048481433333,118,-0.0578873285452505,1
"ACAM",0.6,481,-2.06899136898987,111,-0.0505124421693253,1
"ACAM",0.6,2669,-2.41051530641825,116,-0.0608217456584005,1
"ACAM",0.6,843,-1.97246431524692,112,-0.0480287478786505,1
"ACAM",0.6,2701,-2.01335430504925,107,-0.0527931155232829,1
"ACAM",0.6,2315,-2.08981594248613,117,-0.049111102586689,1
"ACAM",0.6,766,-1.79023310337516,109,-0.0457164917080936,1
"ACAM",0.6,365,-1.98618561246731,113,-0.0485632941830397,1
"ACAM",0.6,2463,-2.39365171049697,117,-0.059796284944288,1
"ACAM",0.6,1566,-1.87433373953983,108,-0.0481152917305309,1
"ACAM",0.6,2847,-2.44860647495814,116,-0.0635926721372892,1
"ACAM",0.6,1172,-2.31117010394892,115,-0.0569377273888328,1
"ACAM",0.6,890,-1.92784755571528,111,-0.0479563497417414,1
"ACAM",0.6,1670,-2.32282233779323,110,-0.0593929106879292,1
"ACAM",0.6,2806,-2.31134902380813,117,-0.0551944561051606,1
"ACAM",0.6,26,-2.31304442497559,110,-0.0591472960455449,1
"ACAM",0.6,2687,-1.77857255977515,109,-0.0461792419627796,1
"ACAM",0.6,376,-2.22536708556408,107,-0.0570188350876206,1
"ACAM",0.6,2763,-1.88277894333291,104,-0.0507521391442442,1
"ACAM",0.6,252,-2.44521174035432,115,-0.0635528396974057,1
"ACAM",0.6,1275,-2.31123613388947,117,-0.0554923108626387,1
"ACAM",0.6,2572,-1.84535307717405,108,-0.0479647334152358,1
"ACAM",0.6,458,-1.87446384842686,113,-0.0457684985216447,1
"ACAM",0.6,1130,-2.33120543587593,106,-0.0629122624434399,1
"ACAM",0.6,2882,-2.46639826658795,118,-0.0640162076886705,1
"ACAM",0.6,2561,-1.78150476063563,103,-0.0485119496385108,1
"ACAM",0.6,2019,-1.86507287903925,111,-0.046149895582397,1
"ACAM",0.6,95,-2.03965629420498,107,-0.0523305320136721,1
"ACAM",0.6,1099,-2.20745728465889,108,-0.0570825445005787,1
"ACAM",0.6,2482,-2.05392985922095,105,-0.0528045682306246,1
"ACAM",0.6,2672,-2.26835907242463,112,-0.056874416070132,1
"ACAM",0.6,690,-2.35751490196186,110,-0.0611852772371303,1
"ACAM",0.6,2247,-2.22416771838565,107,-0.0576526633263059,1
"ACAM",0.6,263,-2.20432137329934,103,-0.0596736704304751,1
"ACAM",0.6,2509,-2.35661709087071,112,-0.0597911147161692,1
"ACAM",0.6,1371,-2.11546960325778,111,-0.0528600250799674,1
"ACAM",0.6,140,-1.84343763369192,107,-0.0474252585298537,1
"ACAM",0.6,139,-1.97689396388128,110,-0.0495493973035737,1
"ACAM",0.6,1559,-2.22818991510049,103,-0.0600108547471554,1
"ACAM",0.6,344,-1.65756236366054,105,-0.0451066664333212,1
"ACAM",0.6,2628,-2.35549518420634,115,-0.0578744384980449,1
"ACAM",0.6,2035,-2.29567691297995,114,-0.0559052352405048,1
"ACAM",0.6,2764,-2.2002190370012,104,-0.0582478652893468,1
"ACAM",0.6,1979,-2.16693618191822,112,-0.0524217671273665,1
"ACAM",0.6,1033,-2.33585570448225,106,-0.0622776122842141,1
"ACAM",0.6,397,-2.29545103193735,113,-0.0575856164063421,1
"ACAM",0.6,1366,-2.24914462633392,119,-0.0521089504587938,1
"ACAM",0.6,450,-2.3520764101036,113,-0.0595296284517318,1
"ACAM",0.6,1831,-1.92873081938917,113,-0.0475111790699811,1
"ACAM",0.6,2995,-2.29024918266156,118,-0.0541142326612302,1
"ACAM",0.6,623,-2.24154064428896,114,-0.0554144555898611,1
"ACAM",0.6,1043,-2.09048653819416,113,-0.0506458699055307,1
"ACAM",0.6,404,-1.87979106151575,115,-0.0455741788512138,1
"ACAM",0.6,30,-2.16518629213653,108,-0.0558091438932905,1
"ACAM",0.6,306,-2.44608827432113,116,-0.0632788275445612,1
"ACAM",0.6,1869,-2.03849435431959,117,-0.0481441675033567,1
"ACAM",0.6,117,-2.22547621870584,102,-0.0597219631237052,1
"ACAM",0.6,815,-2.31428763233319,111,-0.0585042044500111,1
"ACAM",0.6,167,-2.42061122804962,115,-0.0619639138768644,1
"ACAM",0.6,2285,-2.44669397640166,116,-0.0642845233617226,1
"ACAM",0.6,2454,-1.69780514130925,105,-0.0462107062351858,1
"ACAM",0.6,1138,-2.01744954904184,116,-0.0475294547981215,1
"ACAM",0.6,2582,-2.02085605315526,104,-0.0535763525812381,1
"ACAM",0.6,1198,-2.40436860467398,109,-0.0640991377885315,1
"ACAM",0.6,2888,-2.02613379577977,106,-0.0520964065075739,1
"ACAM",0.6,2913,-2.1873177985059,114,-0.0531099350931334,1
"ACAM",0.6,2462,-1.99588993082276,102,-0.0545008239209242,1
"ACAM",0.6,1420,-2.09636168008334,106,-0.0537013898166995,1
"ACAM",0.6,2715,-2.37071088580783,116,-0.0591508434526098,1
"ACAM",0.6,2304,-2.34552796006335,118,-0.0567429213674298,1
"ACAM",0.6,835,-2.35344884881871,114,-0.0595176570273978,1
"ACAM",0.6,1031,-2.2536008265794,111,-0.056114186291989,1
"ACAM",0.6,2772,-2.47009899400894,119,-0.0635808800325441,1
"ACAM",0.6,612,-2.41500964551212,113,-0.0617009703259115,1
"ACAM",0.6,418,-2.2448746777134,115,-0.0535135374813252,1
"ACAM",0.6,632,-2.02897149611262,119,-0.0460078399890664,1
"ACAM",0.6,1899,-2.08307582535592,103,-0.0551329751489724,1
"ACAM",0.6,2544,-2.02483350670024,114,-0.0481814545953668,1
"ACAM",0.6,2785,-2.37291995923835,114,-0.0602451761425459,1
"ACAM",0.6,185,-2.38298731914029,111,-0.0619659037766584,1
"ACAM",0.6,1509,-1.61267045974576,104,-0.0455341645292655,1
"ACAM",0.6,221,-1.65343185862421,104,-0.045510457793964,1
"ACAM",0.6,2461,-2.15192303887601,112,-0.0529634736993426,1
"ACAM",0.6,658,-1.82861089297815,112,-0.0457151141295834,1
"ACAM",0.6,2954,-2.11402998276343,109,-0.0533270952164001,1
"ACAM",0.6,2253,-2.33591477960584,110,-0.0600780526131778,1
"ACAM",0.6,1195,-2.17414153702523,107,-0.0552076167702729,1
"ACAM",0.6,1428,-2.31960093152669,111,-0.0580161503421579,1
"ACAM",0.6,2682,-2.19375377630836,112,-0.0533941938006697,1
"ACAM",0.6,1743,-2.26076632746231,116,-0.0540351007726421,1
"ACAM",0.6,12,-2.05260387098756,118,-0.0475619701660255,1
"ACAM",0.6,889,-2.06927509191516,119,-0.0472834948914678,1
"ACAM",0.6,495,-2.1035300306241,104,-0.0547300197283497,1
"ACAM",0.6,1039,-2.11246032247407,115,-0.0506447207523043,1
"ACAM",0.6,2769,-2.27311486589203,116,-0.0545276392263979,1
"ACAM",0.6,417,-2.28797943923539,118,-0.0539937745665868,1
"ACAM",0.6,2457,-2.16060415522034,119,-0.0504066103519016,1
"ACAM",0.6,2038,-2.26357699779568,117,-0.0545430217777841,1
"ACAM",0.6,675,-2.16306284284797,103,-0.0580715366373882,1
"ACAM",0.6,2392,-1.90646265064421,103,-0.0516019529828805,1
"ACAM",0.6,258,-2.1574038992944,117,-0.0499357591360074,1
"ACAM",0.6,1748,-2.06537106754064,113,-0.0500461282561129,1
"ACAM",0.6,1392,-1.94829158564433,113,-0.0473767289555206,1
"ACAM",0.6,2001,-1.92951155261577,109,-0.0481332069823561,1
"ACAM",0.6,2801,-2.27841442026852,109,-0.0587779621492727,1
"ACAM",0.6,355,-2.15744717846398,117,-0.0514836697447976,1
"ACAM",0.6,1606,-2.35188195711136,110,-0.061840996234993,1
"ACAM",0.6,2588,-2.36076500583044,114,-0.0585604813539773,1
"ACAM",0.6,2907,-2.34632370117311,106,-0.0621905059444318,1
"ACAM",0.6,2311,-2.40334341361009,111,-0.0634582181463516,1
"ACAM",0.6,2720,-2.24147774140381,107,-0.0578703157838798,1
"ACAM",0.6,1301,-2.27640458010933,105,-0.0605118785834489,1
"ACAM",0.6,1065,-1.77039471923713,107,-0.0475618086916808,1
"ACAM",0.6,1847,-2.32782001826739,109,-0.0597310607593993,1
"ACAM",0.6,2220,-2.14066349292873,106,-0.0550070840589182,1
"ACAM",0.6,1125,-2.42006343327143,118,-0.0610633702968681,1
"ACAM",0.6,74,-1.93254084376391,110,-0.0486236648580098,1
"ACAM",0.6,467,-1.91455333914499,105,-0.0509541827273235,1
"ACAM",0.6,1864,-2.1522106542549,114,-0.0525293277634121,1
"ACAM",0.6,1694,-2.02688928741896,108,-0.0510309614840836,1
"ACAM",0.6,72,-2.33601279186637,112,-0.0593468286750452,1
"ACAM",0.6,1461,-1.71411082002291,108,-0.0451491504402072,1
"ACAM",0.6,1985,-2.08395594034052,115,-0.0487638093326258,1
"ACAM",0.6,373,-1.92171088061531,103,-0.0519091433331704,1
"ACAM",0.6,1086,-1.99475243087899,109,-0.0498161731469756,1
"ACAM",0.6,985,-2.01340878182382,105,-0.0532904216015264,1
"ACAM",0.6,457,-2.27163386459282,104,-0.0610927457346093,1
"ACAM",0.6,2088,-1.71366705934929,107,-0.0460886188243806,1
"ACAM",0.6,63,-1.68551834969325,107,-0.0456631328166945,1
"ACAM",0.6,560,-2.35530949959513,113,-0.0591257293262389,1
"ACAM",0.6,2657,-2.16970236202846,107,-0.0559217119341434,1
"ACAM",0.6,2976,-2.05140330721052,106,-0.0532580290922131,1
"ACAM",0.6,2467,-1.73432391584113,105,-0.0470282724839614,1
"ACAM",0.6,1791,-2.33124845018991,107,-0.0606529953216702,1
"ACAM",0.6,2290,-2.38361590497753,117,-0.0590704932603122,1
"ACAM",0.6,2874,-2.18843148794979,102,-0.0592268856407485,1
"ACAM",0.6,227,-2.34209639201081,107,-0.0622554390410338,1
"ACAM",0.6,2107,-1.835905517843,105,-0.0487069075186997,1
"ACAM",0.6,1821,-2.34615402235251,116,-0.0574328639686991,1
"ACAM",0.6,2759,-2.18215211461596,108,-0.0560902724394524,1
"ACAM",0.6,1698,-1.898860994226,108,-0.0488608604593916,1
"ACAM",0.6,1971,-2.3664173419349,115,-0.0590616587642168,1
"ACAM",0.6,1183,-2.18451959030521,105,-0.0565870588486762,1
"ACAM",0.6,1674,-2.2826823796706,106,-0.0605910022528645,1
"ACAM",0.6,2986,-2.22919460512396,111,-0.0553500184903733,1
"ACAM",0.6,2671,-1.81209641723857,106,-0.0486057119770789,1
"ACAM",0.6,2823,-2.39965562901867,115,-0.0610440510028342,1
"ACAM",0.6,311,-2.126398629529,108,-0.0531681003583524,1
"ACAM",0.6,683,-1.99754503526492,107,-0.0514420906788863,1
"ACAM",0.6,2939,-2.05571104628885,110,-0.0507951633826054,1
"ACAM",0.6,2848,-2.36514670710636,111,-0.0617179598017406,1
"ACAM",0.6,1423,-1.97999233161441,108,-0.0515041365013859,1
"ACAM",0.6,1385,-2.36208168640997,119,-0.0558030981175487,1
"ACAM",0.6,1498,-2.00100256075595,119,-0.0455925478732511,1
"ACAM",0.6,245,-1.77714904660636,102,-0.0496494195035661,1
"ACAM",0.6,2345,-2.01762776893546,107,-0.052361776115388,1
"ACAM",0.6,1304,-2.12947153939494,118,-0.0491135030687726,1
"ACAM",0.6,652,-2.14989618855189,107,-0.0545427925589637,1
"ACAM",0.6,498,-1.73993597608379,104,-0.0473027220588283,1
"ACAM",0.6,1968,-2.33599929356544,109,-0.0604547500148754,1
"ACAM",0.6,672,-2.04284036581156,103,-0.0536500837438375,1
"ACAM",0.6,524,-2.30153193954178,114,-0.0571659009364086,1
"ACAM",0.6,2533,-2.14946111387262,114,-0.0514841486105194,1
"ACAM",0.6,2136,-2.1975431216531,106,-0.0566650218001437,1
"ACAM",0.6,504,-2.27899086554059,111,-0.0572614759045827,1
"ACAM",0.6,1328,-2.10294334291996,110,-0.0514647241266379,1
"ACAM",0.6,2382,-2.1243413214732,118,-0.0502156517544315,1
"ACAM",0.6,859,-2.14638380782808,107,-0.0556058065983298,1
"ACAM",0.6,2111,-2.41142962117118,112,-0.0628949052323321,1
"ACAM",0.6,874,-2.37387962414369,112,-0.060952414226196,1
"ACAM",0.6,2249,-2.28016929442436,111,-0.0575487814421436,1
"ACAM",0.6,441,-2.24634396499549,105,-0.0594213407169204,1
"ACAM",0.6,2284,-2.33714723226602,116,-0.0574923371236871,1
"ACAM",0.6,1111,-2.33353300971556,114,-0.0572164156610898,1
"ACAM",0.6,2712,-2.16914770556147,111,-0.0537203069828388,1
"ACAM",0.6,2228,-2.10530642797034,112,-0.0522364992948539,1
"ACAM",0.6,2181,-1.83782909544958,105,-0.0493942956977326,1
"ACAM",0.6,1373,-2.14620995688534,113,-0.0517225936392265,1
"ACAM",0.6,1588,-2.2254825382407,113,-0.0542594720510487,1
"ACAM",0.6,217,-2.2833849748908,110,-0.0580648253676697,1
"ACAM",0.6,1116,-2.3181574758525,105,-0.0625747962379463,1
"ACAM",0.6,2000,-2.31364759438543,117,-0.055605851777436,1
"ACAM",0.6,2690,-2.26688542667592,113,-0.0556379980346831,1
"ACAM",0.6,1186,-2.38580485868602,116,-0.0595206931718281,1
"ACAM",0.6,1150,-1.88215424537758,113,-0.0467550169973035,1
"ACAM",0.6,2487,-2.25338272521458,104,-0.060552683663754,1
"ACAM",0.6,1444,-1.99897154783526,105,-0.051578191634078,1
"ACAM",0.6,220,-2.27581940546778,111,-0.0561037090073213,1
"ACAM",0.6,2296,-1.78413869218933,107,-0.0470070608489134,1
"ACAM",0.6,664,-2.06438376584797,120,-0.0464236554300018,1
"ACAM",0.6,1896,-2.27909605015373,112,-0.0563774121043031,1
"ACAM",0.6,1880,-2.13368357603042,107,-0.0554052710237228,1
"ACAM",0.6,1793,-1.90376901613523,105,-0.0494193568731802,1
"ACAM",0.6,1335,-1.78672091896861,104,-0.0485297048109194,1
"ACAM",0.6,1082,-1.7537674766667,105,-0.0478733232343746,1
"ACAM",0.6,1669,-1.94392115191454,105,-0.0514971897255237,1
"ACAM",0.6,1772,-2.2791097884429,107,-0.0592174256471132,1
"ACAM",0.6,2858,-1.94360937549227,113,-0.0474328683865862,1
