"rowname","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.679,0.295,5.693,0
"num.focal.indiv",-0.026,0.01,-2.661,0.008
"microbe",-0.485,0.403,-1.203,0.23
"water",0.855,0.368,2.324,0.021
"num.focal.indiv:microbe",0.001,0.016,0.067,0.947
"num.focal.indiv:water",0.008,0.012,0.658,0.511
"microbe:water",1.86,0.505,3.683,0
"num.focal.indiv:microbe:water",-0.028,0.02,-1.392,0.165
