"rowname","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-3.036,0.895,-3.391,0.001
"delta13C",-0.09,0.03,-2.987,0.004
"as.factor(water.x)0.75",3.018,1.324,2.28,0.026
"as.factor(water.x)1",1.796,1.848,0.971,0.335
"num.bg.indiv",-0.01,0.003,-3.957,0
"delta13C:as.factor(water.x)0.75",0.104,0.044,2.377,0.021
"delta13C:as.factor(water.x)1",0.059,0.06,0.979,0.331
