"rowname","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.355,0.098,54.782,0
"num.bg.indiv",-0.019,0.001,-15.539,0
"microbe",-0.169,0.039,-4.298,0
"water",1.699,0.117,14.464,0
