"rowname","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.058,0.035,-1.629,0.105
"num.bg.indiv",-0.013,0.001,-13.321,0
"waterIntermediate",-0.263,0.039,-6.717,0
"waterLow",-0.161,0.039,-4.132,0
"microbeSterilized",0.019,0.032,0.597,0.551
