"rowname","Sum Sq","Df","F value","Pr(>F)","species","signif"
"(Intercept)",2.25,1,2.949,0.092,"A. americanus","."
"num.bg.indiv",42.891,1,56.204,0,"A. americanus","***"
"water",20.783,1,27.234,0,"A. americanus","***"
"Residuals",41.973,55,NA,NA,"A. americanus",NA
