"water","lambda","alpha_INTER","alpha_INTRA","lambda_m0","alpha_INTER_m0","alpha_INTRA_m0","focal"
0.6,28.4810005673951,-0.0552360610798491,-0.0515139361009501,11.3144644689509,-0.0756638535228205,-0.0229872311072261,"ACAM"
0.75,53.5528678383776,-0.0410622135174189,-0.0625527429700806,19.2527230456067,-0.0723157572977382,-0.0289079072174506,"ACAM"
1,66.8065719050548,-0.0237685167140318,-0.0516281762125041,22.4392440062349,-0.0367531538165326,-0.0300758152487411,"ACAM"
0.6,451.496227846537,-0.0108785847296555,-0.0550890186694003,460.353637290979,-0.0155920922069357,0.0390423400039154,"BRHO"
0.75,545.0175340597,-0.0014211436748146,-0.047178619281631,555.716212902506,-0.0167393599706422,0.104274760764868,"BRHO"
1,582.93151951255,0.00547592043931683,-0.0464196943716078,591.611953807391,-0.00598674683867226,0.132326146402455,"BRHO"
