"","water","lam","a_aa","a_init","a_slope","c","N_opt"
"1",0.6,28.4942512052362,-0.0522188867378906,-0.0369551596215085,-0.187628323738224,-0.0266958869736499,0.477304660929934
"2",0.75,62.6136741031704,-0.0694380403642417,-0.020212982605488,-0.203164842647937,-0.0328012960956723,0.468215056400528
"3",1,83.1649779411839,-0.0598911299237103,-0.013998132524617,-0.165889358769691,-0.0304532657163994,0.480078411927162
