"","bkgrd","focal","water","soil_sand_ratio","rep","empty_pot_weight_g","soil_actual_weight_g","sand_actual_weight_g","notes","Wfc","Wt","Tw","Wn"
"47","ACAM","BRHO",0.25,"75_25",3,31.5,825.2,275.8,"",320.537463975516,80.134365993879,1137.21053918208,4.71053918207713
"48","ACAM","BRHO",0.25,"75_25",4,31.3,825.1,275.1,"",320.303406048175,80.0758515120438,1136.20314427157,4.70314427157309
"49","ACAM","BRHO",0.25,"60_40",1,27.7,660.3,440.3,"",207.955534136431,51.9888835341078,1106.10630161733,-22.1936983826692
"50","ACAM","BRHO",0.25,"60_40",2,27.8,660.4,439.9,"",207.898431586875,51.9746078967188,1105.91018182645,-22.1898181735451
"51","ACAM","BRHO",0.25,"60_40",3,27.9,660.4,440,"",207.917415966848,51.9793539917119,1106.10863015619,-22.1913698438108
"52","ACAM","BRHO",0.25,"60_40",4,27.9,660.1,440.2,"",207.89887981579,51.9747199539476,1106.01250623147,-22.1874937685285
"53","ACAM","BRHO",0.25,"50_50",1,31.4,550,550.2,"",254.888368345406,63.7220920863516,1121.97810776723,-9.62189223276814
"54","ACAM","BRHO",0.25,"50_50",2,27.7,550.7,550.6,"",255.142935618999,63.7857339047498,1119.36731202295,-9.63268797705241
"55","ACAM","BRHO",0.25,"50_50",3,28.1,550.6,550.2,"",255.026823837447,63.7567059593617,1119.27051035311,-9.6294896468854
"56","ACAM","BRHO",0.25,"50_50",4,28.1,550.3,550.1,"",254.934337124873,63.7335842812183,1118.87479208379,-9.62520791620646
