"","water","lam","a_aa","a_ab"
"1",0.6,28.9507613918238,-0.0515793506182776,-0.0535980500706271
"2",0.75,63.7151316973764,-0.0686983629737612,-0.0435460096064962
"3",1,84.6718185528458,-0.0597139254112378,-0.0290525756963033
