bkgrd,focal,water.saturation,soil_sand_ratio,rep,soil_vol_L,sand_vol_L,soil_as_is_weight_g,sand_as_is_weight_g,empty_pot_weight_g,pot_weight_pre_saturation,VWC_pre_saturation,time_saturated,date_saturated,VWC_immediately_post_saturation,VWC___hours_post_saturation,pot_weight___hours_post_saturation,time_measured,date_measured,VWC___hours_post_saturation,pot_weight___hours_post_saturation,time_measured,date_measured,notes,VWC___hours_post_saturation,pot_weight___hours_post_saturation,time_measured,date_measured,notes
ACAM,BRHO,0.75,75_25,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,75_25,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,60_40,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,60_40,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,60_40,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,60_40,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,50_50,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,50_50,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,50_50,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.75,50_50,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,75_25,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,75_25,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,75_25,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,75_25,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,60_40,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,60_40,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,60_40,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,60_40,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,50_50,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,50_50,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,50_50,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.5,50_50,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,75_25,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,75_25,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,75_25,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,75_25,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,60_40,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,60_40,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,60_40,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,60_40,4,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,50_50,1,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,50_50,2,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,50_50,3,,,,,,,,,,,,,,,,,,,,,,,,
ACAM,BRHO,0.25,50_50,4,,,,,,,,,,,,,,,,,,,,,,,,
