"","water","lam","a_bb","a_ba"
"1",0.6,400.696765696465,-0.0520830943273742,-0.0060903716892251
"2",0.75,463.933777734984,-0.0439881305772055,0.00564566397672603
"3",1,478.01443161921,-0.0421895911359694,0.0130669220179624
