"","water","lam","a_bb","a_init","a_slope","c","N_opt"
"1",0.6,360.666690990634,-0.0547692492254353,0.0892792004715271,-0.273158276817059,-0.0939256161923802,1.43839216577172
"2",0.75,421.464329498583,-0.0452917793736892,0.100250218876617,-0.205184689168725,-0.0980172575097042,1.41142894020897
"3",1,430.056002567558,-0.0467669937925602,0.1372400198575,-0.182606357133067,-0.128476924488728,1.54441161374885
