unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO
109,24,0.75,0,4,ACAM,BRHO,60,3
110,38,0.75,0,4,ACAM,BRHO,84,3
111,13,1,0,4,ACAM,BRHO,0,3
112,12,1,0,4,ACAM,BRHO,3,3
113,31,1,0,4,ACAM,BRHO,6,3
114,1,1,0,4,ACAM,BRHO,12,3
115,1,1,0,4,ACAM,BRHO,18,3
116,39,1,0,4,ACAM,BRHO,24,3
117,19,1,0,4,ACAM,BRHO,36,3
118,45,1,0,4,ACAM,BRHO,48,3
119,35,1,0,4,ACAM,BRHO,60,3
120,14,1,0,4,ACAM,BRHO,84,3
121,1,0.5,0,5,ACAM,BRHO,0,3
122,17,0.5,0,5,ACAM,BRHO,3,3
123,2,0.5,0,5,ACAM,BRHO,6,3
124,2,0.5,0,5,ACAM,BRHO,12,3
125,24,0.5,0,5,ACAM,BRHO,18,3
126,15,0.5,0,5,ACAM,BRHO,24,3
127,6,0.5,0,5,ACAM,BRHO,36,3
128,33,0.5,0,5,ACAM,BRHO,48,3
129,30,0.5,0,5,ACAM,BRHO,60,3
130,11,0.5,0,5,ACAM,BRHO,84,3
131,9,0.75,0,5,ACAM,BRHO,0,3
132,20,0.75,0,5,ACAM,BRHO,3,3
133,13,0.75,0,5,ACAM,BRHO,6,3
134,10,0.75,0,5,ACAM,BRHO,12,3
135,4,0.75,0,5,ACAM,BRHO,18,3
136,10,0.75,0,5,ACAM,BRHO,24,3
137,35,0.75,0,5,ACAM,BRHO,36,3
138,24,0.75,0,5,ACAM,BRHO,48,3
139,5,0.75,0,5,ACAM,BRHO,60,3
140,18,0.75,0,5,ACAM,BRHO,84,3
141,34,1,0,5,ACAM,BRHO,0,3
142,11,1,0,5,ACAM,BRHO,3,3
143,18,1,0,5,ACAM,BRHO,6,3
144,23,1,0,5,ACAM,BRHO,12,3
145,26,1,0,5,ACAM,BRHO,18,3
146,20,1,0,5,ACAM,BRHO,24,3
147,19,1,0,5,ACAM,BRHO,36,3
148,41,1,0,5,ACAM,BRHO,48,3
149,24,1,0,5,ACAM,BRHO,60,3
150,29,1,0,5,ACAM,BRHO,84,3
151,30,0.5,1,1,ACAM,BRHO,0,3
152,13,0.5,1,1,ACAM,BRHO,3,3
153,43,0.5,1,1,ACAM,BRHO,6,3
154,17,0.5,1,1,ACAM,BRHO,12,3
155,28,0.5,1,1,ACAM,BRHO,18,3
156,10,0.5,1,1,ACAM,BRHO,24,3
157,21,0.5,1,1,ACAM,BRHO,36,3
158,17,0.5,1,1,ACAM,BRHO,48,3
159,15,0.5,1,1,ACAM,BRHO,60,3
160,22,0.5,1,1,ACAM,BRHO,84,3
161,27,0.75,1,1,ACAM,BRHO,0,3
162,4,0.75,1,1,ACAM,BRHO,3,3
163,2,0.75,1,1,ACAM,BRHO,6,3
164,10,0.75,1,1,ACAM,BRHO,12,3
165,14,0.75,1,1,ACAM,BRHO,18,3
166,40,0.75,1,1,ACAM,BRHO,24,3
167,11,0.75,1,1,ACAM,BRHO,36,3
168,38,0.75,1,1,ACAM,BRHO,48,3
169,34,0.75,1,1,ACAM,BRHO,60,3
170,21,0.75,1,1,ACAM,BRHO,84,3
171,27,1,1,1,ACAM,BRHO,0,3
172,20,1,1,1,ACAM,BRHO,3,3
173,22,1,1,1,ACAM,BRHO,6,3
174,31,1,1,1,ACAM,BRHO,12,3
175,19,1,1,1,ACAM,BRHO,18,3
176,17,1,1,1,ACAM,BRHO,24,3
177,21,1,1,1,ACAM,BRHO,36,3
178,16,1,1,1,ACAM,BRHO,48,3
179,14,1,1,1,ACAM,BRHO,60,3
180,24,1,1,1,ACAM,BRHO,84,3
181,3,0.5,1,2,ACAM,BRHO,0,3
182,18,0.5,1,2,ACAM,BRHO,3,3
183,27,0.5,1,2,ACAM,BRHO,6,3
184,28,0.5,1,2,ACAM,BRHO,12,3
185,4,0.5,1,2,ACAM,BRHO,18,3
