"species","water","post_num","n_star","lambda","alpha_ii","g_i","s_i"
"ACAM",0.6,2460,98.9841334496983,27.9486020927256,-0.0538204971954503,0.516111111111111,0.16
"ACAM",0.6,1779,114.96472416293,26.7622516451369,-0.0456081959286085,0.516111111111111,0.16
"ACAM",0.6,1189,100.591147029499,30.6469823807533,-0.0547359806555594,0.516111111111111,0.16
"ACAM",0.6,231,98.1320666124349,32.9223167390459,-0.0575216353467598,0.516111111111111,0.16
"ACAM",0.6,1625,95.635246393843,28.6179115569861,-0.0561846097848711,0.516111111111111,0.16
"ACAM",0.6,827,101.744423472315,25.8043728244425,-0.0508402548977248,0.516111111111111,0.16
"ACAM",0.6,538,118.077634730568,30.6040241511973,-0.0466069402117329,0.516111111111111,0.16
"ACAM",0.6,481,89.6641095401712,29.9913458396299,-0.0609391490507934,0.516111111111111,0.16
"ACAM",0.6,2113,96.5979740908785,30.4309558501212,-0.0568567727316098,0.516111111111111,0.16
"ACAM",0.6,2299,113.401053246384,26.8163902152979,-0.0462716098978422,0.516111111111111,0.16
"ACAM",0.6,1048,115.378492061031,28.9721986050918,-0.0467770772574217,0.516111111111111,0.16
"ACAM",0.6,2253,105.033493007044,29.0495027358608,-0.0514334185083848,0.516111111111111,0.16
"ACAM",0.6,584,99.7180711015181,28.7265024035963,-0.0539577945958214,0.516111111111111,0.16
"ACAM",0.6,69,107.151625154571,28.5553613873773,-0.0501064675112945,0.516111111111111,0.16
"ACAM",0.6,1978,93.2367320053235,30.7907758214585,-0.0591507727194338,0.516111111111111,0.16
"ACAM",0.6,1279,109.517190690531,27.6013357051227,-0.0484229900937696,0.516111111111111,0.16
"ACAM",0.6,1536,113.941755469509,28.0179783147383,-0.0467974087058166,0.516111111111111,0.16
"ACAM",0.6,857,104.726176636571,30.0358679197374,-0.0522021226444319,0.516111111111111,0.16
"ACAM",0.6,1529,92.6966577513911,29.1690948536087,-0.0583644762615047,0.516111111111111,0.16
"ACAM",0.6,678,100.889938726799,26.8945460971826,-0.0520655295823416,0.516111111111111,0.16
"ACAM",0.6,1706,95.8026842009121,29.0413679025738,-0.056383482243694,0.516111111111111,0.16
"ACAM",0.6,1402,102.085564116855,29.9137295046797,-0.0534750798621123,0.516111111111111,0.16
"ACAM",0.6,1492,97.5304027274635,31.476109431674,-0.0569840537135888,0.516111111111111,0.16
"ACAM",0.6,1627,93.2461468896593,27.6103819661145,-0.0568793987211456,0.516111111111111,0.16
"ACAM",0.6,579,86.9448941888334,26.4166112512479,-0.0600167106155035,0.516111111111111,0.16
"ACAM",0.6,2479,93.3044404981353,31.8379678599219,-0.0598023571431108,0.516111111111111,0.16
"ACAM",0.6,982,104.108342490834,27.1124259492384,-0.0506061423064716,0.516111111111111,0.16
"ACAM",0.6,202,110.231031406381,29.8108229822946,-0.0494629932092813,0.516111111111111,0.16
"ACAM",0.6,940,101.189221656462,30.4888674463164,-0.0543134214333652,0.516111111111111,0.16
"ACAM",0.6,985,96.203013030315,30.5841688775728,-0.0571913459506055,0.516111111111111,0.16
"ACAM",0.6,1554,115.049052763656,29.9702585969906,-0.0474814142376078,0.516111111111111,0.16
"ACAM",0.6,600,123.383958444253,28.5477239394498,-0.0435102844739375,0.516111111111111,0.16
"ACAM",0.6,1026,116.827084462919,27.965027514343,-0.045610259615582,0.516111111111111,0.16
"ACAM",0.6,2002,100.364127524647,32.7900299665043,-0.0561646474000636,0.516111111111111,0.16
"ACAM",0.6,75,97.9848636386491,29.9198120157611,-0.0557170508440105,0.516111111111111,0.16
"ACAM",0.6,950,107.819025862624,30.4490384716148,-0.0509501918670503,0.516111111111111,0.16
"ACAM",0.6,666,99.2239683007904,26.5065034416452,-0.0526559130099475,0.516111111111111,0.16
"ACAM",0.6,449,99.8650256530996,27.005363813866,-0.0526796574375561,0.516111111111111,0.16
"ACAM",0.6,2131,100.088649130325,29.5437086709957,-0.0543010355992769,0.516111111111111,0.16
"ACAM",0.6,671,110.558917754881,31.3919742465209,-0.0502220155280933,0.516111111111111,0.16
"ACAM",0.6,73,118.022083118938,29.8998098237868,-0.0462467000794199,0.516111111111111,0.16
"ACAM",0.6,766,100.806562844714,29.6547672219164,-0.0539864375052612,0.516111111111111,0.16
"ACAM",0.6,1422,99.1870969711685,29.6438815752106,-0.0548607228175951,0.516111111111111,0.16
"ACAM",0.6,2260,124.693691581424,29.385539590746,-0.0435027317642942,0.516111111111111,0.16
"ACAM",0.6,932,99.5913097803334,33.2418081835607,-0.0568667010098121,0.516111111111111,0.16
"ACAM",0.6,1128,101.536206721977,26.0509534704227,-0.0511259937260735,0.516111111111111,0.16
"ACAM",0.6,1870,98.333356461802,25.2842175834467,-0.0522025974556634,0.516111111111111,0.16
"ACAM",0.6,43,110.577644470244,27.6745254452236,-0.0480050091675661,0.516111111111111,0.16
"ACAM",0.6,342,96.980946293705,27.538276883528,-0.0546366926188035,0.516111111111111,0.16
"ACAM",0.6,2409,105.09513342543,32.8428803534782,-0.0536660078600185,0.516111111111111,0.16
"ACAM",0.6,887,106.172506485628,28.4549017234522,-0.0505042321470577,0.516111111111111,0.16
"ACAM",0.6,1976,93.8953714659049,30.5223662943967,-0.0585551815533872,0.516111111111111,0.16
"ACAM",0.6,2334,98.2445289572235,30.1351152678688,-0.0557111985088974,0.516111111111111,0.16
"ACAM",0.6,1716,108.327236671379,29.5744086884474,-0.0501898675047686,0.516111111111111,0.16
"ACAM",0.6,1477,104.166830259588,29.898000035185,-0.05239685786435,0.516111111111111,0.16
"ACAM",0.6,816,92.1667155525546,32.3275692765365,-0.0608613901437911,0.516111111111111,0.16
"ACAM",0.6,1742,104.89298240918,31.306315823837,-0.052884352637946,0.516111111111111,0.16
"ACAM",0.6,2094,97.8693555301192,26.7473158224913,-0.0535637737850386,0.516111111111111,0.16
"ACAM",0.6,2366,100.67309989414,28.8376763786359,-0.0535202678663725,0.516111111111111,0.16
"ACAM",0.6,1985,122.155353912436,26.8197350407119,-0.0429575191645799,0.516111111111111,0.16
"ACAM",0.6,148,102.46434375643,26.091718592358,-0.0506924541436292,0.516111111111111,0.16
"ACAM",0.6,1835,91.3722070566222,30.9933170091038,-0.0604968235927421,0.516111111111111,0.16
"ACAM",0.6,2035,106.302386377853,26.62771239155,-0.0492328416502461,0.516111111111111,0.16
"ACAM",0.6,454,112.108591240677,27.4810521148983,-0.0472282063655969,0.516111111111111,0.16
"ACAM",0.6,1289,103.715376282407,26.4313282662433,-0.0503225836206397,0.516111111111111,0.16
"ACAM",0.6,1092,94.897026127937,32.8578299835081,-0.0594425161681812,0.516111111111111,0.16
"ACAM",0.6,2293,97.4001526599375,28.6061519461858,-0.0551583597046395,0.516111111111111,0.16
"ACAM",0.6,986,112.174207552347,28.0114334140811,-0.0475307680256211,0.516111111111111,0.16
"ACAM",0.6,506,113.870357714058,26.703176642842,-0.0460089179977959,0.516111111111111,0.16
"ACAM",0.6,1082,108.493714689468,31.8498797897456,-0.0514366226646052,0.516111111111111,0.16
"ACAM",0.6,2046,103.717137808669,30.7419712045141,-0.0531440734088327,0.516111111111111,0.16
"ACAM",0.6,583,94.5301563643618,30.1493683338305,-0.0579099502647823,0.516111111111111,0.16
"ACAM",0.6,860,92.1299568803777,31.6125965190691,-0.0604153245657285,0.516111111111111,0.16
"ACAM",0.6,1498,91.3419692621232,27.3767186604917,-0.057884865369372,0.516111111111111,0.16
"ACAM",0.6,1490,97.6349128731586,27.8657468560237,-0.0545053256001181,0.516111111111111,0.16
