"focal","water","post_num","igr"
"ACAM",0.6,3747,-1.51231061526151
"ACAM",0.6,1067,-2.12385936698702
"ACAM",0.6,1025,-2.18573067289102
"ACAM",0.6,29,-1.85662996888639
"ACAM",0.6,3662,-2.20727056194445
"ACAM",0.6,1942,-1.98276422054079
"ACAM",0.6,838,-1.46498198402318
"ACAM",0.6,1820,-2.24109830554951
"ACAM",0.6,1652,-2.17249015119381
"ACAM",0.6,2281,-2.24506741176979
"ACAM",0.6,1317,-1.9305724626648
"ACAM",0.6,573,-0.472441313477583
"ACAM",0.6,1966,-2.32797925455379
"ACAM",0.6,369,-1.53948616821525
"ACAM",0.6,2499,-2.50313623650799
"ACAM",0.6,86,-2.00112166806999
"ACAM",0.6,1507,-1.96122981336133
"ACAM",0.6,2375,-2.4929028489479
"ACAM",0.6,1646,-2.44760453746703
"ACAM",0.6,355,-1.54688070725826
"ACAM",0.6,1843,-1.80008386724766
"ACAM",0.6,2860,-2.16684149240815
"ACAM",0.6,1073,-1.70030259399491
"ACAM",0.6,361,-2.38957463439149
"ACAM",0.6,1340,-1.7397390500129
"ACAM",0.6,1266,-2.15020162681264
"ACAM",0.6,3512,-2.20967206907695
"ACAM",0.6,2806,-2.46768288096407
"ACAM",0.6,1841,-2.45024572661913
"ACAM",0.6,2866,-1.46746846400567
"ACAM",0.6,247,-2.30747178031361
"ACAM",0.6,751,-2.49600095855787
"ACAM",0.6,219,-2.11064550597144
"ACAM",0.6,135,-1.98307640113282
"ACAM",0.6,111,-1.53930466774851
"ACAM",0.6,532,-2.16579623958199
"ACAM",0.6,2425,-2.50392878706053
"ACAM",0.6,408,-2.20466329635391
"ACAM",0.6,3123,-2.36538701124312
"ACAM",0.6,1589,-2.36074588835922
"ACAM",0.6,912,-2.26076446430193
"ACAM",0.6,2515,-2.39706394862804
"ACAM",0.6,3428,-2.27296396790564
"ACAM",0.6,2178,-2.33709927075203
"ACAM",0.6,3887,-2.06926072235516
"ACAM",0.6,3137,-1.86257040947542
"ACAM",0.6,1836,-2.21691870177181
"ACAM",0.6,359,-2.295316941481
"ACAM",0.6,2153,-1.41124132973652
"ACAM",0.6,1148,-2.34776380400047
"ACAM",0.6,2042,-1.85285826782562
"ACAM",0.6,1101,-2.38886062897736
"ACAM",0.6,1242,-2.47101667874056
"ACAM",0.6,3682,-2.4344854360303
"ACAM",0.75,1422,-2.0604948453659
"ACAM",0.75,1017,-1.81252671292151
"ACAM",0.75,3908,-1.64976173868437
"ACAM",0.75,679,-1.52521268360963
"ACAM",0.75,2177,-1.5978917376628
"ACAM",0.75,930,-1.27890968901593
"ACAM",0.75,1533,-1.66937510455735
"ACAM",0.75,471,-2.13976724828665
"ACAM",0.75,2347,-1.72717584952421
"ACAM",0.75,270,-2.21335285170601
"ACAM",0.75,1211,-2.13527730266844
"ACAM",0.75,3379,-1.33950061543516
"ACAM",0.75,597,-0.121376413039928
"ACAM",0.75,1301,-2.10204360494113
"ACAM",0.75,3946,-2.17588004296146
"ACAM",0.75,1974,-1.67206804017686
"ACAM",0.75,3566,-1.05894418662637
"ACAM",0.75,330,-1.68547037319784
"ACAM",0.75,1799,-1.85462840172104
"ACAM",0.75,3913,-1.69133411014924
"ACAM",0.75,1615,-1.58256638328133
"ACAM",0.75,1749,-1.98047876644909
"ACAM",0.75,37,-1.17187696396174
"ACAM",0.75,1129,-1.61893502035488
"ACAM",0.75,729,-2.28343342709214
"ACAM",0.75,878,-0.677562071458441
"ACAM",0.75,485,-1.68364358358213
"ACAM",0.75,3749,-1.99984165812895
"ACAM",0.75,1826,-1.41260552026553
"ACAM",0.75,2922,-1.66065554611639
"ACAM",0.75,2430,-1.05256575782038
"ACAM",0.75,3673,-1.80478290762259
"ACAM",0.75,975,-1.14161554038337
"ACAM",0.75,2849,-1.42706725501677
"ACAM",0.75,2900,-1.84372462862479
"ACAM",0.75,2979,-1.07391163218123
"ACAM",0.75,2374,-1.53263893874521
"ACAM",0.75,2378,-2.13726832209107
"ACAM",0.75,554,-2.42542846489453
"ACAM",0.75,1446,-1.7749008956041
